file_name,group,label,bbox_x_center,bbox_y_center,bbox_width,bbox_height,category,revised,path
rev01__10__10_20201020 (545).txt,train,14,0.4528,0.7366,0.1533,0.337,Vulpes vulpes,alba,donanet\images\train\rev01__10__10_20201020 (545)
rev01__11__11_20201029 (15).txt,train,5,0.4007,0.4648,0.1124,0.0881,Meles meles,alba,donanet\images\train\rev01__11__11_20201029 (15)
rev01__11__11_20201029 (17).txt,train,5,0.4603,0.4652,0.0967,0.0933,Meles meles,alba,donanet\images\train\rev01__11__11_20201029 (17)
rev01__11__11_20201029 (18).txt,train,5,0.4643,0.4714,0.0954,0.097,Meles meles,alba,donanet\images\train\rev01__11__11_20201029 (18)
rev01__11__11_20201029 (19).txt,train,5,0.4679,0.4707,0.0892,0.097,Meles meles,alba,donanet\images\train\rev01__11__11_20201029 (19)
rev01__11__11_20201029 (20).txt,train,5,0.4681,0.47,0.0879,0.0985,Meles meles,alba,donanet\images\train\rev01__11__11_20201029 (20)
rev01__11__11_20201101 (104).txt,train,15,0.4644,0.5666,0.1579,0.194,Sus scrofa,alba,donanet\images\train\rev01__11__11_20201101 (104)
rev01__11__11_20201101 (32).txt,train,15,0.6151,0.5044,0.2062,0.2,Sus scrofa,alba,donanet\images\train\rev01__11__11_20201101 (32)
rev01__11__11_20201101 (38).txt,train,15,0.121,0.4392,0.0721,0.1674,Sus scrofa,alba,donanet\images\train\rev01__11__11_20201101 (38)
rev01__11__11_20201101 (38).txt,train,15,0.8004,0.4914,0.1591,0.1814,Sus scrofa,alba,donanet\images\train\rev01__11__11_20201101 (38)
rev01__11__11_20201101 (89).txt,train,15,0.9254,0.5014,0.1491,0.314,Sus scrofa,alba,donanet\images\train\rev01__11__11_20201101 (89)
rev01__11__11_20201101 (93).txt,train,15,0.2598,0.5092,0.4479,0.4155,Sus scrofa,alba,donanet\images\train\rev01__11__11_20201101 (93)
rev01__11__11_20201110 (157).txt,train,4,0.2224,0.6122,0.2308,0.14,Herpestes ichneumon,alba,donanet\images\train\rev01__11__11_20201110 (157)
rev01__11__11_20201110 (161).txt,train,4,0.5762,0.6088,0.0817,0.6,Herpestes ichneumon,alba,donanet\images\train\rev01__11__11_20201110 (161)
rev01__11__11_20201110 (162).txt,train,4,0.5898,0.6918,0.1079,0.4311,Herpestes ichneumon,alba,donanet\images\train\rev01__11__11_20201110 (162)
rev01__11__11_20201113 (205).txt,train,15,0.8589,0.5122,0.182,0.2525,Sus scrofa,alba,donanet\images\train\rev01__11__11_20201113 (205)
rev01__11__11_20201113 (207).txt,train,15,0.6281,0.5102,0.2354,0.2829,Sus scrofa,alba,donanet\images\train\rev01__11__11_20201113 (207)
rev01__11__11_20201116 (218).txt,train,10,0.275,0.3122,0.55,0.6214,Homo sapiens,alba,donanet\images\train\rev01__11__11_20201116 (218)
rev01__11__11_20201116 (221).txt,train,10,0.9202,0.3107,0.1595,0.4451,Homo sapiens,alba,donanet\images\train\rev01__11__11_20201116 (221)
rev01__12__12_20201028 (65).txt,train,14,0.7097,0.5202,0.147,0.1251,Vulpes vulpes,alba,donanet\images\train\rev01__12__12_20201028 (65)
rev01__12__12_20201101 (100).txt,train,15,0.2385,0.4103,0.1012,0.1392,Sus scrofa,alba,donanet\images\train\rev01__12__12_20201101 (100)
rev01__12__12_20201106 (156).txt,train,5,0.3873,0.4918,0.1099,0.0978,Meles meles,alba,donanet\images\train\rev01__12__12_20201106 (156)
rev01__12__12_20201112 (179).txt,train,4,0.1689,0.5363,0.112,0.0711,Herpestes ichneumon,alba,donanet\images\train\rev01__12__12_20201112 (179)
rev01__12__12_20201116 (199).txt,train,14,0.7383,0.5092,0.14,0.1533,Vulpes vulpes,alba,donanet\images\train\rev01__12__12_20201116 (199)
rev01__12__12_20201118 (221).txt,train,10,0.5,0.4896,1.0,0.9762,Homo sapiens,alba,donanet\images\train\rev01__12__12_20201118 (221)
rev01__12__12_20201118 (223).txt,train,10,0.757,0.4885,0.485,0.977,Homo sapiens,alba,donanet\images\train\rev01__12__12_20201118 (223)
rev01__12__12_20201118 (226).txt,train,10,0.7932,0.4888,0.4133,0.9762,Homo sapiens,alba,donanet\images\train\rev01__12__12_20201118 (226)
rev01__13__13_20201025 (1).txt,train,10,0.4381,0.4903,0.8745,0.9762,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (1)
rev01__13__13_20201025 (102).txt,train,10,0.2047,0.4888,0.4095,0.9777,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (102)
rev01__13__13_20201025 (102).txt,train,10,0.4538,0.174,0.1337,0.3466,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (102)
rev01__13__13_20201025 (104).txt,train,10,0.5002,0.4903,0.9995,0.9777,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (104)
rev01__13__13_20201025 (105).txt,train,10,0.4339,0.49,0.8629,0.9785,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (105)
rev01__13__13_20201025 (108).txt,train,10,0.1898,0.4896,0.3795,0.9777,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (108)
rev01__13__13_20201025 (108).txt,train,10,0.4544,0.5192,0.1449,0.797,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (108)
rev01__13__13_20201025 (115).txt,train,10,0.412,0.5533,0.0608,0.3348,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (115)
rev01__13__13_20201025 (115).txt,train,10,0.1744,0.4896,0.3487,0.9762,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (115)
rev01__13__13_20201025 (117).txt,train,10,0.3075,0.4892,0.615,0.9785,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (117)
rev01__13__13_20201025 (119).txt,train,10,0.1014,0.4881,0.2029,0.9762,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (119)
rev01__13__13_20201025 (12).txt,train,10,0.412,0.4892,0.8241,0.977,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (12)
rev01__13__13_20201025 (121).txt,train,10,0.1675,0.4892,0.335,0.977,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (121)
rev01__13__13_20201025 (13).txt,train,10,0.3725,0.4888,0.7433,0.9762,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (13)
rev01__13__13_20201025 (2).txt,train,10,0.5,0.49,1.0,0.977,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (2)
rev01__13__13_20201025 (3).txt,train,10,0.5,0.4896,1.0,0.9762,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (3)
rev01__13__13_20201025 (34).txt,train,10,0.5,0.4892,1.0,0.977,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (34)
rev01__13__13_20201025 (51).txt,train,10,0.4124,0.4896,0.8249,0.9792,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201025 (51)
rev01__13__13_20201118 (166).txt,train,10,0.8224,0.4896,0.2275,0.9777,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201118 (166)
rev01__13__13_20201118 (169).txt,train,10,0.7864,0.4892,0.227,0.9785,Homo sapiens,alba,donanet\images\train\rev01__13__13_20201118 (169)
rev01__14__14_20201025 (17).txt,train,14,0.3739,0.7324,0.2554,0.2725,Vulpes vulpes,alba,donanet\images\train\rev01__14__14_20201025 (17)
rev01__14__14_20201025 (30).txt,train,14,0.6968,0.6181,0.1037,0.2496,Vulpes vulpes,alba,donanet\images\train\rev01__14__14_20201025 (30)
rev01__14__14_20201025 (52).txt,train,14,0.6579,0.6166,0.1291,0.2451,Vulpes vulpes,alba,donanet\images\train\rev01__14__14_20201025 (52)
rev01__14__14_20201025 (69).txt,train,14,0.6796,0.5955,0.2083,0.1866,Vulpes vulpes,alba,donanet\images\train\rev01__14__14_20201025 (69)
rev01__15__15_20201024 (3).txt,train,10,0.748,0.407,0.237,0.8111,Homo sapiens,alba,donanet\images\train\rev01__15__15_20201024 (3)
rev01__15__15_20201024 (3).txt,train,10,0.5012,0.4233,0.1908,0.8451,Homo sapiens,alba,donanet\images\train\rev01__15__15_20201024 (3)
rev01__15__15_20201024 (7).txt,train,10,0.692,0.4892,0.4875,0.977,Homo sapiens,alba,donanet\images\train\rev01__15__15_20201024 (7)
